time,t,h,pm1,pm10,pm25,um1,um5,um03,um05,um10,um25,ae1,ae10,ae25,pm25_station
2017/3/15 00:00,6.03,53.81,0,89,48,178,0,5050,2080,0,0,0,0,0,69
2017/3/15 01:00,4.81,57.88,0,66,37,130,0,2464,1544,0,0,0,12,6,51
2017/3/15 02:00,3.89,59.14,0,56,31,107,0,1016,1280,0,0,0,9,5,48
2017/3/15 03:00,3.21,61.48,0,55,31,105,0,821,1253,0,0,0,8,4,44
2017/3/15 04:00,2.69,63.84,0,54,30,103,0,926,1235,0,0,0,9,5,39
2017/3/15 05:00,1.66,64.98,0,67,37,130,0,2418,1532,0,0,0,0,0,49
2017/3/15 06:00,1.22,62.93,0,77,43,148,0,3657,1745,0,0,0,11,6,56
2017/3/15 07:00,1.12,62.07,0,78,43,150,0,3773,1762,0,0,0,11,6,49
2017/3/15 08:00,2.45,59.15,0,84,46,159,0,4474,1888,0,0,0,13,7,58
2017/3/15 09:00,5.86,56.46,0,64,35,122,0,1938,1455,0,0,0,8,4,45
2017/3/15 10:00,6.84,54.98,0,55,30,109,0,1335,1296,0,0,0,0,0,35
2017/3/15 11:00,8.02,52.61,0,57,31,114,0,1363,1352,0,0,0,9,5,48
2017/3/15 12:00,8.68,50.52,0,76,41,148,0,3560,1773,0,0,0,12,6,54
2017/3/15 13:00,10.03,47.64,0,88,48,175,0,4986,2081,0,0,0,14,7,67
2017/3/15 14:00,10.97,45.06,0,101,54,201,0,1838,2395,0,0,0,17,9,73
2017/3/15 15:00,11.26,44.6,0,104,56,207,0,1144,2477,0,0,0,0,0,81
2017/3/15 16:00,10.86,47.05,0,104,56,210,0,715,2480,0,0,0,18,9,76
2017/3/15 17:00,11.14,45.58,0,103,55,208,0,1368,2457,0,0,0,18,9,78
2017/3/15 18:00,10.55,47.3,0,108,58,219,0,1364,2584,0,0,0,18,9,72
2017/3/15 19:00,8.76,50.03,0,117,63,237,0,2462,2789,0,0,0,21,11,88
2017/3/15 20:00,7.74,49.68,0,145,78,293,0,3128,3441,0,0,0,0,0,92
2017/3/15 21:00,6.66,51.65,0,150,81,295,0,2994,3495,0,0,0,25,13,95
2017/3/15 23:00,5.46,52.68,0,136,74,264,0,3128,3121,0,0,0,20,10,87
2017/3/16 00:00,4.91,53.52,0,130,71,253,0,3814,2988,0,0,0,19,9,82
2017/3/16 01:00,3.93,59.52,0,147,80,282,0,3801,3361,0,0,0,0,0,88
2017/3/16 02:00,3.31,61.45,0,142,78,272,0,4496,3238,0,0,0,23,12,77
2017/3/16 03:00,3.2,58.49,0,124,68,241,0,3218,2844,0,0,0,18,9,81
2017/3/16 04:00,2.77,59.93,0,125,68,241,0,3310,2854,0,0,0,19,10,75
2017/3/16 05:00,2.32,61.53,0,132,72,249,0,4070,2974,0,0,0,20,11,75
2017/3/16 06:00,1.88,63.56,0,135,74,259,0,4197,3056,0,0,0,0,0,82
2017/3/16 07:00,1.78,63.54,0,149,82,289,0,4243,3399,0,0,0,21,11,86
2017/3/16 08:00,3.34,62.98,0,202,109,407,0,2845,4768,0,0,0,36,19,112
2017/3/16 09:00,5.74,60.15,0,195,104,400,0,4395,4672,0,0,0,30,15,117
2017/3/16 10:00,8.23,52.72,0,184,97,385,0,4769,4494,0,0,0,29,15,107
2017/3/16 11:00,8.83,51.05,0,198,104,419,0,3134,4882,0,0,0,0,0,125
2017/3/16 12:00,11.41,43.95,0,209,109,451,0,1711,5260,0,0,0,65,33,134
2017/3/16 13:00,14.1,34.34,0,217,113,472,0,2713,5465,0,0,0,0,0,137
2017/3/16 14:00,15.29,32.45,0,227,118,500,0,4440,5790,0,0,0,37,19,137
2017/3/16 15:00,16.12,30.47,0,212,110,465,0,2709,5400,0,0,0,36,18,145
2017/3/16 16:00,16.44,28.59,0,194,101,426,0,3236,4938,0,0,0,33,17,129
2017/3/16 17:00,16.35,29.46,0,187,97,409,0,2365,4753,0,0,0,22,11,136
2017/3/16 18:00,14.39,30.29,0,135,72,289,0,5044,3361,0,0,0,0,0,90
2017/3/16 19:00,12.56,33.23,0,139,74,295,0,4418,3424,0,0,0,22,11,95
2017/3/16 20:00,10.86,37.04,0,151,80,315,0,1709,3666,0,0,0,24,12,95
2017/3/16 21:00,8.6,41.76,0,186,100,394,0,3755,4548,0,0,0,29,15,116
2017/3/16 22:00,8.12,41.92,0,231,123,478,0,3145,5581,0,0,0,34,17,144
2017/3/16 23:00,7.29,45.18,0,207,110,431,0,1364,5014,0,0,0,0,0,122
2017/3/17 00:00,7.31,46.3,0,216,116,444,0,2216,5170,0,0,0,32,17,129
2017/3/17 01:00,6.79,50.46,0,205,110,429,0,2561,4982,0,0,0,30,16,124
2017/3/17 02:00,6.24,54.64,0,178,96,368,0,3871,4257,0,0,0,25,13,111
2017/3/17 03:00,6.13,57.33,0,154,83,318,0,1869,3705,0,0,0,23,12,90
2017/3/17 04:00,5.73,55.62,0,157,84,328,0,1963,3798,0,0,0,0,0,95
